Fetching sequences for InterPro entry IPR036385...
Fetching page 1...
Total entries found: 8370
Retrieved sequence 1: A0A022FRD2
Retrieved sequence 2: A0A022RAE5
Retrieved sequence 3: A0A022RCU4
Retrieved sequence 4: A0A022RDP5
Retrieved sequence 5: A0A022RH09
Retrieved sequence 6: A0A022RVU0
Retrieved sequence 7: A0A022RZH7
Retrieved sequence 8: A0A023D699
Retrieved sequence 9: A0A023H9V2
Retrieved sequence 10: A0A023HA06
Retrieved sequence 11: A0A023HAM7
Retrieved sequence 12: A0A023HB64
Retrieved sequence 13: A0A023HB86
Retrieved sequence 14: A0A023HBL8
Retrieved sequence 15: A0A023HC89
Retrieved sequence 16: A0A023HR57
Retrieved sequence 17: A0A023JEN5
Retrieved sequence 18: A0A023JGD7
Retrieved sequence 19: A0A023PJK0
Retrieved sequence 20: A0A023PKK2
Retrieved sequence 21: A0A023PL46
Retrieved sequence 22: A0A023PMA5
Retrieved sequence 23: A0A024FB70
Retrieved sequence 24: A0A058ZKX0
Retrieved sequence 25: A0A059A414
Retrieved sequence 26: A0A059AEA0
Retrieved sequence 27: A0A059AFA2
Retrieved sequence 28: A0A059CJR2
Retrieved sequence 29: A0A059D765
Retrieved sequence 30: A0A059XBZ4
Retrieved sequence 31: A0A059XCL6
Retrieved sequence 32: A0A059XH74
Retrieved sequence 33: A0A059ZT68
Retrieved sequence 34: A0A060A4Q8
Retrieved sequence 35: A0A060CUR4
Retrieved sequence 36: A0A060GU37
Retrieved sequence 37: A0A060NLC1
Retrieved sequence 38: A0A060NT82
Retrieved sequence 39: A0A060UNB4
Retrieved sequence 40: A0A060UZV1
Retrieved sequence 41: A0A061E5B5
Retrieved sequence 42: A0A061E5F3
Retrieved sequence 43: A0A061EGU5
Retrieved sequence 44: A0A061EH79
Retrieved sequence 45: A0A061FUU7
Retrieved sequence 46: A0A061GXL5
Retrieved sequence 47: A0A061QWG7
Retrieved sequence 48: A0A066PWL0
Retrieved sequence 49: A0A067A1X9
Retrieved sequence 50: A0A067DQM3
Retrieved sequence 51: A0A067DXX0
Retrieved sequence 52: A0A067JJG6
Retrieved sequence 53: A0A067KC46
Retrieved sequence 54: A0A067KN15
Retrieved sequence 55: A0A067XS20
Retrieved sequence 56: A0A067XS69
Retrieved sequence 57: A0A067XTQ9
Retrieved sequence 58: A0A068AA38
Retrieved sequence 59: A0A068AA45
Retrieved sequence 60: A0A068AB95
Retrieved sequence 61: A0A068AB99
Retrieved sequence 62: A0A068ABA7
Retrieved sequence 63: A0A068ABB6
Retrieved sequence 64: A0A068ACN3
Retrieved sequence 65: A0A068ACP3
Retrieved sequence 66: A0A068ACR4
Retrieved sequence 67: A0A068AET5
Retrieved sequence 68: A0A068AEV1
Retrieved sequence 69: A0A068N159
Retrieved sequence 70: A0A068N1M1
Retrieved sequence 71: A0A068P0P9
Retrieved sequence 72: A0A068P0Q2
Retrieved sequence 73: A0A068P0Q8
Retrieved sequence 74: A0A068P0X6
Retrieved sequence 75: A0A068P168
Retrieved sequence 76: A0A068U5U7
Retrieved sequence 77: A0A068VHS4
Retrieved sequence 78: A0A068VLJ3
Retrieved sequence 79: A0A069P6C6
Retrieved sequence 80: A0A069PT85
Retrieved sequence 81: A0A072TVK5
Retrieved sequence 82: A0A072TVR6
Retrieved sequence 83: A0A072TWG1
Retrieved sequence 84: A0A072TWG5
Retrieved sequence 85: A0A072TXF3
Retrieved sequence 86: A0A072U6Q1
Retrieved sequence 87: A0A073CDK8
Retrieved sequence 88: A0A073CE73
Retrieved sequence 89: A0A073CEW8
Retrieved sequence 90: A0A073CK05
Retrieved sequence 91: A0A074J857
Retrieved sequence 92: A0A074JUR1
Retrieved sequence 93: A0A075C3E7
Retrieved sequence 94: A0A075DVL2
Retrieved sequence 95: A0A075M3N4
Retrieved sequence 96: A0A075M3N8
Retrieved sequence 97: A0A075M3P2
Retrieved sequence 98: A0A075M3P5
Retrieved sequence 99: A0A075M3Q0
Retrieved sequence 100: A0A075M3Q5
Fetching page 2...
Retrieved sequence 101: A0A075M3R0
Retrieved sequence 102: A0A075M3R5
Retrieved sequence 103: A0A075M3S1
Retrieved sequence 104: A0A075M3S5
Retrieved sequence 105: A0A075M3S9
Retrieved sequence 106: A0A075M3T4
Retrieved sequence 107: A0A075M3U3
Retrieved sequence 108: A0A075M3U9
Retrieved sequence 109: A0A075M3V4
Retrieved sequence 110: A0A075M3V9
Retrieved sequence 111: A0A075M4T6
Retrieved sequence 112: A0A075M4V1
Retrieved sequence 113: A0A075M4V7
Retrieved sequence 114: A0A075M4W4
Retrieved sequence 115: A0A075M4X0
Retrieved sequence 116: A0A075M4Y1
Retrieved sequence 117: A0A075M4Y7
Retrieved sequence 118: A0A075M4Z1
Retrieved sequence 119: A0A075M4Z3
Retrieved sequence 120: A0A075M4Z6
Retrieved sequence 121: A0A075M4Z9
Retrieved sequence 122: A0A075M501
Retrieved sequence 123: A0A075M506
Retrieved sequence 124: A0A075M507
Retrieved sequence 125: A0A075M510
Retrieved sequence 126: A0A075M513
Retrieved sequence 127: A0A075M514
Retrieved sequence 128: A0A075M518
Retrieved sequence 129: A0A075M522
Retrieved sequence 130: A0A075M527
Retrieved sequence 131: A0A075M528
Retrieved sequence 132: A0A075M532
Retrieved sequence 133: A0A075M535
Retrieved sequence 134: A0A075M537
Retrieved sequence 135: A0A075M542
Retrieved sequence 136: A0A075M547
Retrieved sequence 137: A0A075M551
Retrieved sequence 138: A0A075M554
Retrieved sequence 139: A0A075M559
Retrieved sequence 140: A0A075M563
Retrieved sequence 141: A0A075M569
Retrieved sequence 142: A0A075M574
Retrieved sequence 143: A0A075M579
Retrieved sequence 144: A0A075M585
Retrieved sequence 145: A0A075M595
Retrieved sequence 146: A0A075M5A0
Retrieved sequence 147: A0A075M5A6
Retrieved sequence 148: A0A075M5A8
Retrieved sequence 149: A0A075M5B1
Retrieved sequence 150: A0A075M5B7
Retrieved sequence 151: A0A075M5C4
Retrieved sequence 152: A0A075M5D0
Retrieved sequence 153: A0A075M5D8
Retrieved sequence 154: A0A075M5E6
Retrieved sequence 155: A0A075M5F2
Retrieved sequence 156: A0A075M5G1
Retrieved sequence 157: A0A075M996
Retrieved sequence 158: A0A075M9A3
Retrieved sequence 159: A0A075M9A6
Retrieved sequence 160: A0A075M9B7
Retrieved sequence 161: A0A075M9D3
Retrieved sequence 162: A0A075M9D8
Retrieved sequence 163: A0A075M9E6
Retrieved sequence 164: A0A075M9F1
Retrieved sequence 165: A0A075M9F5
Retrieved sequence 166: A0A075M9F9
Retrieved sequence 167: A0A075M9G5
Retrieved sequence 168: A0A075M9G8
Retrieved sequence 169: A0A075W2L4
Retrieved sequence 170: A0A076H099
Retrieved sequence 171: A0A076HCY7
Retrieved sequence 172: A0A076HKS1
Retrieved sequence 173: A0A076LAT3
Retrieved sequence 174: A0A076LCG9
Retrieved sequence 175: A0A076LE12
Retrieved sequence 176: A0A076LE84
Retrieved sequence 177: A0A076LEE2
Retrieved sequence 178: A0A077GYX3
Retrieved sequence 179: A0A077JNM4
Retrieved sequence 180: A0A078BEK4
Retrieved sequence 181: A0A078FHG9
Retrieved sequence 182: A0A078FI23
Retrieved sequence 183: A0A078FKE5
Retrieved sequence 184: A0A078HWZ0
Retrieved sequence 185: A0A078HX64
Retrieved sequence 186: A0A078HZX8
Retrieved sequence 187: A0A078ITU8
Retrieved sequence 188: A0A078JQI2
Retrieved sequence 189: A0A078JZM9
Retrieved sequence 190: A0A081GPS6
Retrieved sequence 191: A0A085TS27
Retrieved sequence 192: A0A086XVA7
Retrieved sequence 193: A0A087SAW7
Retrieved sequence 194: A0A088FLQ9
Retrieved sequence 195: A0A089P6W8
Retrieved sequence 196: A0A089QQ62
Retrieved sequence 197: A0A089VFW0
Retrieved sequence 198: A0A089VGK5
Retrieved sequence 199: A0A089VHR0
Retrieved sequence 200: A0A089VIT9
Fetching page 3...
Retrieved sequence 201: A0A089VKD8
Retrieved sequence 202: A0A089VLB2
Retrieved sequence 203: A0A089VLB5
Retrieved sequence 204: A0A089VME0
Retrieved sequence 205: A0A089VME3
Retrieved sequence 206: A0A089VMU6
Retrieved sequence 207: A0A089VMX7
Retrieved sequence 208: A0A089X5U4
Retrieved sequence 209: A0A089X5U7
Retrieved sequence 210: A0A089X7Z7
Retrieved sequence 211: A0A089X8M9
Retrieved sequence 212: A0A090AJH4
Retrieved sequence 213: A0A090DC19
Retrieved sequence 214: A0A090EAI5
Retrieved sequence 215: A0A090G4Z4
Retrieved sequence 216: A0A090GIZ9
Retrieved sequence 217: A0A094JD00
Retrieved sequence 218: A0A095V5G3
Retrieved sequence 219: A0A096P9B5
Retrieved sequence 220: A0A097PB76
Retrieved sequence 221: A0A098TCG1
Retrieved sequence 222: A0A098TLV8
Retrieved sequence 223: A0A098TNB7
Retrieved sequence 224: A0A0A0D1H9
Retrieved sequence 225: A0A0A0DTB8
Retrieved sequence 226: A0A0A0ECJ4
Retrieved sequence 227: A0A0A0KR46
Retrieved sequence 228: A0A0A0QPH8
Retrieved sequence 229: A0A0A0QPI1
Retrieved sequence 230: A0A0A0QQB6
Retrieved sequence 231: A0A0A0QRD2
Retrieved sequence 232: A0A0A0QSS6
Retrieved sequence 233: A0A0A0QSS7
Retrieved sequence 234: A0A0A1GKY5
Retrieved sequence 235: A0A0A1H7A1
Retrieved sequence 236: A0A0A1H8W1
Retrieved sequence 237: A0A0A1PBI9
Retrieved sequence 238: A0A0A1VNZ3
Retrieved sequence 239: A0A0A1VNZ6
Retrieved sequence 240: A0A0A1ZH66
Retrieved sequence 241: A0A0A1ZPR3
Retrieved sequence 242: A0A0A2A135
Retrieved sequence 243: A0A0A2A7E2
Retrieved sequence 244: A0A0A2AQ53
Retrieved sequence 245: A0A0A2B1L5
Retrieved sequence 246: A0A0A2B2P6
